,Time Difference,user.screen_name
4569,0 days 00:13:42.000000000,SniperKwrw
4592,0 days 00:13:50.000000000,M_H_Hoefer
4609,0 days 00:13:58.000000000,colejan00
4616,0 days 00:14:00.000000000,skitzopenguin
4627,0 days 00:14:03.000000000,TrebinShemdu
4630,0 days 00:14:04.000000000,mrrblok
4631,0 days 00:14:04.000000000,jessereitsmaa
4634,0 days 00:14:05.000000000,CrumpetDing
4640,0 days 00:14:07.000000000,itsvince
4655,0 days 00:14:13.000000000,mybelgo
4661,0 days 00:14:15.000000000,DunlapErik
4684,0 days 00:14:21.000000000,hallaaaaaaah
4689,0 days 00:14:22.000000000,ivan_hirsi
4696,0 days 00:14:25.000000000,Macoalopalop
4710,0 days 00:14:29.000000000,Paul_Lettin
4712,0 days 00:14:29.000000000,HiMusashiii
4728,0 days 00:14:33.000000000,timeforbrandy
4729,0 days 00:14:33.000000000,thecommonlurker
4756,0 days 00:14:44.000000000,skyrimzwo
4790,0 days 00:14:57.000000000,ivicajedud
4802,0 days 00:15:01.000000000,layzeh_
4805,0 days 00:15:02.000000000,gzikry
4808,0 days 00:15:03.000000000,MrPayoto
4813,0 days 00:15:04.000000000,jorritrienks
4816,0 days 00:15:06.000000000,Morgonday
4840,0 days 00:15:12.000000000,joelgaveup
4856,0 days 00:15:17.000000000,groblerpaul
4867,0 days 00:15:22.000000000,abhisheknv007
4876,0 days 00:15:25.000000000,ZockerBoyHD
4884,0 days 00:15:26.000000000,visuoel
4886,0 days 00:15:27.000000000,MpampisKits
4895,0 days 00:15:31.000000000,mr_arman786
4943,0 days 00:15:52.000000000,serbary
4949,0 days 00:15:54.000000000,MoussaSteven
4964,0 days 00:15:59.000000000,vflud
4966,0 days 00:15:59.000000000,wiltsunen
4977,0 days 00:16:04.000000000,postftp
4983,0 days 00:16:06.000000000,spectralechos
4985,0 days 00:16:07.000000000,TomJFleming1
5005,0 days 00:16:18.000000000,KoloFilms
5012,0 days 00:16:21.000000000,Tjlarson09
5037,0 days 00:16:30.000000000,TomSegers
5038,0 days 00:16:30.000000000,Adam_Henschel
5068,0 days 00:16:45.000000000,BeboFail
5072,0 days 00:16:46.000000000,MB1O5
5074,0 days 00:16:46.000000000,lilyparis33
5090,0 days 00:16:49.000000000,75e177a66a5e40c
5091,0 days 00:16:50.000000000,Neil_Murray123
5092,0 days 00:16:50.000000000,fafruc
5109,0 days 00:16:58.000000000,armanahamad233
5117,0 days 00:17:02.000000000,ShAbramovich
5125,0 days 00:17:06.000000000,MaV3r1cKss
5127,0 days 00:17:06.000000000,AldrinBen
5134,0 days 00:17:10.000000000,samuelburton201
5137,0 days 00:17:11.000000000,Denis_com27
5151,0 days 00:17:16.000000000,chema8012
5171,0 days 00:17:22.000000000,punged
5180,0 days 00:17:26.000000000,geevorn
5238,0 days 00:17:48.000000000,enricomariodj
