,Time Difference,user.screen_name
742,0 days 00:00:54.000000000,Curiiosity
743,0 days 00:00:54.000000000,0kep1mal1n
746,0 days 00:00:54.000000000,fifi_zifi
747,0 days 00:00:54.000000000,9love911
748,0 days 00:00:54.000000000,LordMetalJesus
749,0 days 00:00:54.000000000,androbeee
751,0 days 00:00:55.000000000,SamLuyk
753,0 days 00:00:55.000000000,Vince72901
754,0 days 00:00:55.000000000,Cpack91
755,0 days 00:00:55.000000000,caldenrodrigues
756,0 days 00:00:55.000000000,FARAI_GGMU98
757,0 days 00:00:55.000000000,galaxyclasskj
758,0 days 00:00:56.000000000,vhsmars
759,0 days 00:00:56.000000000,pliniojunior
760,0 days 00:00:56.000000000,JayHockey
761,0 days 00:00:56.000000000,MoEatsCurry
762,0 days 00:00:56.000000000,Coopreme
766,0 days 00:00:56.000000000,conor_hatton
767,0 days 00:00:56.000000000,danielrampelt
769,0 days 00:00:56.000000000,James5WP
770,0 days 00:00:57.000000000,Aynaysee
771,0 days 00:00:57.000000000,manal21sinha
772,0 days 00:00:57.000000000,penz87
773,0 days 00:00:57.000000000,theuserjohnny
774,0 days 00:00:57.000000000,darshdoshi
776,0 days 00:00:57.000000000,juantcr
778,0 days 00:00:57.000000000,techdipro
780,0 days 00:00:57.000000000,zisforzhang
781,0 days 00:00:57.000000000,Leo8192
782,0 days 00:00:57.000000000,ShreyasTanay7
784,0 days 00:00:57.000000000,ericlynq
786,0 days 00:00:58.000000000,UniqueReway
788,0 days 00:00:58.000000000,Eminemygod
789,0 days 00:00:58.000000000,JustinHoward26
793,0 days 00:00:58.000000000,shivamlong
796,0 days 00:00:59.000000000,Jahiker
798,0 days 00:00:59.000000000,ItsSheVee
799,0 days 00:00:59.000000000,hinakin
801,0 days 00:01:00.000000000,FokasuTimer
804,0 days 00:01:00.000000000,ARJUNDEVPATEL
805,0 days 00:01:00.000000000,DigiGoon
806,0 days 00:01:00.000000000,HereticJayad
807,0 days 00:01:00.000000000,deod8091
809,0 days 00:01:00.000000000,Africanlioness7
810,0 days 00:01:00.000000000,arturocr
811,0 days 00:01:00.000000000,JeremiahBecnel
814,0 days 00:01:01.000000000,Criistiian__
815,0 days 00:01:01.000000000,FlippedLiquid
816,0 days 00:01:01.000000000,joelhardyshow
818,0 days 00:01:01.000000000,pdegiuda
819,0 days 00:01:01.000000000,ahmadhisan
821,0 days 00:01:01.000000000,alex_tarantino
822,0 days 00:01:02.000000000,tonyalvarez96
824,0 days 00:01:02.000000000,ChangningTatum
825,0 days 00:01:02.000000000,WesleyMowatt
826,0 days 00:01:02.000000000,LockeXI
827,0 days 00:01:02.000000000,johnjordan
828,0 days 00:01:02.000000000,hellooomiggyyy
829,0 days 00:01:02.000000000,matthewcmckenna
830,0 days 00:01:02.000000000,JakubBoboC
831,0 days 00:01:02.000000000,Theisjuulhansen
832,0 days 00:01:02.000000000,moBoby
833,0 days 00:01:02.000000000,Brammm
834,0 days 00:01:02.000000000,Navin438
835,0 days 00:01:02.000000000,anwigr
836,0 days 00:01:03.000000000,Siyanmajeed
839,0 days 00:01:03.000000000,VladBabienko
840,0 days 00:01:03.000000000,ParisaSanboli
842,0 days 00:01:03.000000000,rubieealonso
845,0 days 00:01:03.000000000,LoASWE
847,0 days 00:01:03.000000000,vcia_pizza
848,0 days 00:01:03.000000000,SebastianElisea
849,0 days 00:01:03.000000000,islamt96
850,0 days 00:01:03.000000000,krisduwhat
853,0 days 00:01:01.000000000,NickWouterss
854,0 days 00:01:04.000000000,tikot80
855,0 days 00:01:04.000000000,sumnersk
861,0 days 00:01:04.000000000,martinez_e
862,0 days 00:01:04.000000000,ObedCano
863,0 days 00:01:04.000000000,SBuerker
865,0 days 00:01:04.000000000,andopzimbabwe
866,0 days 00:01:05.000000000,jonoleibel
867,0 days 00:01:05.000000000,akshaypudage
868,0 days 00:01:05.000000000,Dman2582
870,0 days 00:01:05.000000000,rolandudv
872,0 days 00:01:05.000000000,iammiguel129
874,0 days 00:01:05.000000000,RageKnify
875,0 days 00:01:05.000000000,Quanchaii
876,0 days 00:01:05.000000000,ivanba12
877,0 days 00:01:05.000000000,L_Hershy
878,0 days 00:01:05.000000000,BtechStudent
879,0 days 00:01:05.000000000,TreyJoe8
880,0 days 00:01:05.000000000,Marnett05
882,0 days 00:01:05.000000000,DanielDahlinger
